menu_xmlid,native_action_xmlid,resolved_scene_key,mapping_source,compatibility_used
smart_construction_core.menu_payment_ledger,,finance.payment_ledger,menu_scene_map,false
smart_construction_core.menu_payment_request,smart_construction_core.action_payment_request,finance.payment_requests,menu_scene_map,false
smart_construction_core.menu_sc_budget_alloc,smart_construction_core.action_project_budget_cost_alloc,cost.budget_alloc,menu_scene_map,false
smart_construction_core.menu_sc_contract_center,,contract.center,menu_scene_map,false
smart_construction_core.menu_sc_cost_center,smart_construction_core.action_project_cost_compare,cost.cost_compare,menu_scene_map,false
smart_construction_core.menu_sc_dictionary,,data.dictionary,menu_scene_map,false
smart_construction_core.menu_sc_finance_center,smart_construction_core.action_sc_finance_dashboard,finance.center,menu_scene_map,false
smart_construction_core.menu_sc_operating_metrics_project,,finance.operating_metrics,menu_scene_map,false
smart_construction_core.menu_sc_profit_reports,smart_construction_core.action_project_profit_compare,cost.profit_compare,menu_scene_map,false
smart_construction_core.menu_sc_project_boq_root,smart_construction_core.action_project_boq_line,cost.project_boq,menu_scene_map,false
smart_construction_core.menu_sc_project_budget,smart_construction_core.action_project_budget,cost.project_budget,menu_scene_map,false
smart_construction_core.menu_sc_project_cost_code,smart_construction_core.action_project_cost_code,config.project_cost_code,menu_scene_map,false
smart_construction_core.menu_sc_project_cost_ledger,smart_construction_core.action_project_cost_ledger,cost.analysis,menu_scene_map,false
smart_construction_core.menu_sc_project_dashboard,smart_construction_core.action_project_dashboard,project.dashboard,menu_scene_map,false
smart_construction_core.menu_sc_project_initiation,smart_construction_core.action_project_initiation,projects.intake,menu_scene_map,false
smart_construction_core.menu_sc_project_manage,smart_construction_core.action_sc_project_manage,project.management,menu_scene_map,false
smart_construction_core.menu_sc_project_management_scene,,project.management,menu_scene_map,false
smart_construction_core.menu_sc_project_progress,smart_construction_core.action_project_progress_entry,cost.project_progress,menu_scene_map,false
smart_construction_core.menu_sc_project_project,smart_construction_core.action_sc_project_kanban_lifecycle,projects.ledger,menu_scene_map,false
smart_construction_core.menu_sc_project_quick_create,smart_construction_core.action_project_initiation_quick,projects.intake,menu_scene_map,false
smart_construction_core.menu_sc_root,smart_construction_core.action_sc_project_list,projects.list,menu_scene_map,false
smart_construction_core.menu_sc_settlement_order,,finance.settlement_orders,menu_scene_map,false
smart_construction_core.menu_sc_tier_review_my_payment_request,smart_construction_core.action_sc_tier_review_my_payment_request,payments.approval,menu_scene_map,false
smart_construction_core.menu_sc_treasury_ledger,,finance.treasury_ledger,menu_scene_map,false
smart_construction_demo.menu_sc_project_dashboard_showcase,,projects.dashboard_showcase,menu_scene_map,false
smart_construction_portal.menu_sc_portal_capability_matrix,,portal.capability_matrix,menu_scene_map,false
smart_construction_portal.menu_sc_portal_dashboard,,portal.dashboard,menu_scene_map,false
smart_construction_portal.menu_sc_portal_lifecycle,,portal.lifecycle,menu_scene_map,false
smart_enterprise_base.menu_enterprise_company,,enterprise.company,menu_scene_map,false
smart_enterprise_base.menu_enterprise_department,,enterprise.department,menu_scene_map,false
smart_enterprise_base.menu_enterprise_post,,enterprise.post,menu_scene_map,false
smart_enterprise_base.menu_enterprise_user,,enterprise.user,menu_scene_map,false
,project.action_view_all_task,task.center,action_xmlid_scene_map,true
,smart_construction_core.action_construction_contract_my,contract.center,action_xmlid_scene_map,true
,smart_construction_core.action_payment_ledger,finance.payment_ledger,action_xmlid_scene_map,true
,smart_construction_core.action_payment_request,finance.payment_requests,action_xmlid_scene_map,true
,smart_construction_core.action_payment_request_my,finance.payment_requests,action_xmlid_scene_map,true
,smart_construction_core.action_project_boq_line,cost.project_boq,action_xmlid_scene_map,true
,smart_construction_core.action_project_budget,cost.project_budget,action_xmlid_scene_map,true
,smart_construction_core.action_project_budget_cost_alloc,cost.budget_alloc,action_xmlid_scene_map,true
,smart_construction_core.action_project_cost_code,config.project_cost_code,action_xmlid_scene_map,true
,smart_construction_core.action_project_cost_compare,cost.cost_compare,action_xmlid_scene_map,true
,smart_construction_core.action_project_cost_ledger,cost.analysis,action_xmlid_scene_map,true
,smart_construction_core.action_project_dashboard,project.dashboard,action_xmlid_scene_map,true
,smart_construction_core.action_project_dictionary,data.dictionary,action_xmlid_scene_map,true
,smart_construction_core.action_project_initiation,projects.intake,action_xmlid_scene_map,true
,smart_construction_core.action_project_initiation_quick,projects.intake,action_xmlid_scene_map,true
,smart_construction_core.action_project_profit_compare,cost.profit_compare,action_xmlid_scene_map,true
,smart_construction_core.action_project_progress_entry,cost.project_progress,action_xmlid_scene_map,true
,smart_construction_core.action_sc_finance_dashboard,finance.center,action_xmlid_scene_map,true
,smart_construction_core.action_sc_operating_drill_overpay_risk_pr,risk.monitor,action_xmlid_scene_map,true
,smart_construction_core.action_sc_operating_metrics_project,finance.operating_metrics,action_xmlid_scene_map,true
,smart_construction_core.action_sc_project_kanban_lifecycle,projects.ledger,action_xmlid_scene_map,true
,smart_construction_core.action_sc_project_list,projects.list,action_xmlid_scene_map,true
,smart_construction_core.action_sc_project_manage,project.management,action_xmlid_scene_map,true
,smart_construction_core.action_sc_project_my_list,projects.list,action_xmlid_scene_map,true
,smart_construction_core.action_sc_project_overview,projects.list,action_xmlid_scene_map,true
,smart_construction_core.action_sc_settlement_order,finance.settlement_orders,action_xmlid_scene_map,true
,smart_construction_core.action_sc_tier_review_my_payment_request,payments.approval,action_xmlid_scene_map,true
,smart_construction_core.action_sc_treasury_ledger,finance.treasury_ledger,action_xmlid_scene_map,true
,smart_construction_demo.action_project_dashboard_showcase,projects.dashboard_showcase,action_xmlid_scene_map,true
,smart_construction_portal.action_sc_portal_capability_matrix,portal.capability_matrix,action_xmlid_scene_map,true
,smart_construction_portal.action_sc_portal_dashboard,portal.dashboard,action_xmlid_scene_map,true
,smart_construction_portal.action_sc_portal_lifecycle,portal.lifecycle,action_xmlid_scene_map,true
,smart_enterprise_base.action_enterprise_company,enterprise.company,action_xmlid_scene_map,true
,smart_enterprise_base.action_enterprise_department,enterprise.department,action_xmlid_scene_map,true
,smart_enterprise_base.action_enterprise_post,enterprise.post,action_xmlid_scene_map,true
,smart_enterprise_base.action_enterprise_user,enterprise.user,action_xmlid_scene_map,true
