model,view_type,domain_group,status,parser_ok,fallback_ok,v2_ok,arch_field_count,parser_field_count,v2_field_count,control_field_count,ignored_control_fields,missing_parser_fields,extra_parser_fields,arch_group_count,parser_group_count,arch_notebook_count,parser_notebook_count,arch_page_count,parser_page_count,arch_header_button_count,parser_header_button_count,arch_stat_button_count,parser_stat_button_count,arch_modifier_field_count,parser_modifier_field_count,missing_modifier_fields,arch_x2many_field_count,parser_subview_count,missing_subviews,arch_chatter,parser_chatter,arch_attachment,parser_attachment,boundary_status,gaps
construction.contract,form,contract,ok,true,true,true,65,65,55,0,,,,6,6,1,1,2,2,5,5,0,0,30,78,,0,1,,false,false,false,false,parser_capability_ok,
construction.contract,tree,contract,ok,true,true,n/a,43,43,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,43,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
construction.contract.expense,form,contract,ok,true,true,true,49,49,43,0,,,,5,5,1,1,3,3,5,5,0,0,22,58,,0,1,,false,false,false,false,parser_capability_ok,
construction.contract.expense,tree,contract,ok,true,true,n/a,16,16,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,16,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
construction.contract.income,form,contract,ok,true,true,true,58,58,42,0,,,,5,5,1,1,3,3,5,5,0,0,24,67,,0,1,,false,false,false,false,parser_capability_ok,
construction.contract.income,tree,contract,ok,true,true,n/a,26,26,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,26,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
construction.work.breakdown,form,contract,ok,true,true,true,15,15,12,0,,,,4,4,1,1,3,3,0,0,0,0,10,23,,0,3,,false,false,false,false,parser_capability_ok,
construction.work.breakdown,tree,contract,ok,true,true,n/a,12,13,0,0,,,company_id,0,0,0,0,0,0,0,1,0,0,0,13,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.equipment.plan,form,equipment,ok,true,true,true,16,16,11,0,,,,5,5,1,1,3,3,4,4,0,0,2,22,,0,1,,false,false,false,false,parser_capability_ok,
sc.equipment.plan,tree,equipment,ok,true,true,n/a,14,14,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,14,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.equipment.price,form,equipment,ok,true,true,true,18,18,12,0,,,,5,5,1,1,2,2,3,3,0,0,3,18,,0,0,,false,false,false,false,parser_capability_ok,
sc.equipment.price,tree,equipment,ok,true,true,n/a,16,16,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,16,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.equipment.request,form,equipment,ok,true,true,true,16,16,11,0,,,,6,6,1,1,3,3,4,4,0,0,2,22,,0,1,,false,false,false,false,parser_capability_ok,
sc.equipment.request,tree,equipment,ok,true,true,n/a,35,35,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,35,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.equipment.settlement,form,equipment,ok,true,true,true,17,17,12,0,,,,6,6,1,1,3,3,4,4,0,0,3,25,,0,1,,false,false,false,false,parser_capability_ok,
sc.equipment.settlement,tree,equipment,ok,true,true,n/a,30,31,0,0,,,currency_id,0,0,0,0,0,0,0,1,0,0,0,31,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.equipment.usage,form,equipment,ok,true,true,true,19,19,14,0,,,,6,6,1,1,2,2,4,4,0,0,2,19,,0,0,,false,false,false,false,parser_capability_ok,
sc.equipment.usage,tree,equipment,ok,true,true,n/a,34,34,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,34,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
payment.ledger,form,finance,ok,true,true,true,11,11,9,0,,,,5,5,0,0,0,0,0,0,0,0,6,11,,0,0,,false,false,false,false,parser_capability_ok,
payment.ledger,tree,finance,ok,true,true,n/a,11,12,0,0,,,currency_id,0,0,0,0,0,0,0,1,0,0,0,12,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
payment.request,form,finance,ok,true,true,true,35,35,32,0,,,,11,11,0,0,0,0,2,2,0,0,26,48,,0,4,,false,false,true,true,parser_capability_ok,
payment.request,tree,finance,ok,true,true,n/a,31,32,0,0,,,is_overpay_risk,0,0,0,0,0,0,0,1,0,0,0,32,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
payment.request.line,form,finance,ok,true,true,true,20,20,14,1,attachment_count,,,6,6,0,0,0,0,0,0,1,1,9,21,,0,0,,false,false,false,false,parser_capability_ok,
payment.request.line,tree,finance,ok,true,true,n/a,18,18,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,18,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.labor.plan,form,labor,ok,true,true,true,15,15,10,0,,,,5,5,1,1,3,3,4,4,0,0,2,20,,0,1,,false,false,false,false,parser_capability_ok,
sc.labor.plan,tree,labor,ok,true,true,n/a,13,13,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,13,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.labor.price,form,labor,ok,true,true,true,18,18,12,0,,,,5,5,1,1,2,2,3,3,0,0,3,18,,0,0,,false,false,false,false,parser_capability_ok,
sc.labor.price,tree,labor,ok,true,true,n/a,16,16,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,16,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.labor.request,form,labor,ok,true,true,true,14,14,9,0,,,,6,6,1,1,3,3,4,4,0,0,2,19,,0,1,,false,false,false,false,parser_capability_ok,
sc.labor.request,tree,labor,ok,true,true,n/a,32,32,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,32,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.labor.settlement,form,labor,ok,true,true,true,17,17,12,0,,,,6,6,1,1,3,3,4,4,0,0,3,24,,0,1,,false,false,false,false,parser_capability_ok,
sc.labor.settlement,tree,labor,ok,true,true,n/a,30,31,0,0,,,currency_id,0,0,0,0,0,0,0,1,0,0,0,31,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.labor.usage,form,labor,ok,true,true,true,17,17,12,0,,,,6,6,1,1,3,3,4,4,0,0,2,17,,0,0,,false,false,false,false,parser_capability_ok,
sc.labor.usage,tree,labor,ok,true,true,n/a,28,28,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,28,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.material.acceptance,form,material,ok,true,true,true,26,26,21,0,,,,7,7,1,1,4,4,5,5,0,0,5,41,,0,2,,false,false,true,true,parser_capability_ok,
sc.material.acceptance,tree,material,ok,true,true,n/a,17,17,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,17,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.material.catalog,form,material,ok,true,true,true,20,20,13,0,,,,9,9,0,0,0,0,0,0,0,0,2,20,,0,1,,false,false,true,true,parser_capability_ok,
sc.material.catalog,tree,material,ok,true,true,n/a,18,18,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,18,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.material.inbound,form,material,ok,true,true,true,22,22,17,0,,,,7,7,1,1,3,3,4,4,0,0,7,31,,0,1,,false,false,false,false,parser_capability_ok,
sc.material.inbound,tree,material,ok,true,true,n/a,40,40,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,40,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.material.outbound,form,material,ok,true,true,true,21,21,16,0,,,,6,6,1,1,3,3,4,4,0,0,5,27,,0,1,,false,false,false,false,parser_capability_ok,
sc.material.outbound,tree,material,ok,true,true,n/a,16,16,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,16,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.material.price,form,material,ok,true,true,true,20,20,16,0,,,,9,9,0,0,0,0,0,0,0,0,6,20,,0,0,,false,false,false,false,parser_capability_ok,
sc.material.price,tree,material,ok,true,true,n/a,17,18,0,0,,,currency_id,0,0,0,0,0,0,0,1,0,0,0,18,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.material.purchase.request,form,material,ok,true,true,true,18,18,13,0,,,,7,7,1,1,3,3,4,4,0,0,5,27,,0,1,,false,false,false,false,parser_capability_ok,
sc.material.purchase.request,tree,material,ok,true,true,n/a,29,29,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,29,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.material.rental.order,form,material,ok,true,true,true,18,18,13,0,,,,6,6,1,1,3,3,4,4,0,0,4,29,,0,1,,false,false,false,false,parser_capability_ok,
sc.material.rental.order,tree,material,ok,true,true,n/a,43,44,0,0,,,currency_id,0,0,0,0,0,0,0,1,0,0,0,44,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.material.rental.plan,form,material,ok,true,true,true,19,19,14,0,,,,5,5,1,1,3,3,4,4,0,0,4,28,,0,1,,false,false,false,false,parser_capability_ok,
sc.material.rental.plan,tree,material,ok,true,true,n/a,16,17,0,0,,,currency_id,0,0,0,0,0,0,0,1,0,0,0,17,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.material.rental.settlement,form,material,ok,true,true,true,20,20,15,0,,,,6,6,1,1,3,3,4,4,0,0,6,29,,0,1,,false,false,false,false,parser_capability_ok,
sc.material.rental.settlement,tree,material,ok,true,true,n/a,24,25,0,0,,,currency_id,0,0,0,0,0,0,0,1,0,0,0,25,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.material.rfq,form,material,ok,true,true,true,22,22,17,0,,,,6,6,1,1,3,3,5,5,0,0,7,38,,0,2,,false,false,false,false,parser_capability_ok,
sc.material.rfq,tree,material,ok,true,true,n/a,18,18,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,18,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.material.settlement,form,material,ok,true,true,true,21,21,16,0,,,,7,7,1,1,3,3,4,4,0,0,6,29,,0,1,,false,false,false,false,parser_capability_ok,
sc.material.settlement,tree,material,ok,true,true,n/a,31,32,0,0,,,currency_id,0,0,0,0,0,0,0,1,0,0,0,32,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.material.stock.summary,form,material,ok,true,true,true,25,25,23,0,,,,9,9,0,0,0,0,0,0,0,0,0,25,,0,0,,false,false,false,false,parser_capability_ok,
sc.material.stock.summary,tree,material,ok,true,true,n/a,21,21,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,21,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
project.boq.line,form,project,ok,true,true,true,35,35,32,0,,,,14,14,1,1,2,2,0,0,0,0,16,35,,0,1,,false,false,false,false,parser_capability_ok,
project.boq.line,tree,project,ok,true,true,n/a,34,36,0,0,,,parent_id;line_type,0,0,0,0,0,0,0,1,0,0,0,36,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
project.budget,form,project,ok,true,true,true,17,17,14,0,,,,4,4,1,1,1,1,0,0,0,0,2,25,,0,1,,false,false,false,false,parser_capability_ok,
project.budget,tree,project,ok,true,true,n/a,16,17,0,0,,,active,0,0,0,0,0,0,0,1,0,0,0,17,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
project.budget.cost.alloc,form,project,ok,true,true,true,8,8,6,0,,,,2,2,0,0,0,0,0,0,0,0,5,8,,0,0,,false,false,false,false,parser_capability_ok,
project.budget.cost.alloc,tree,project,ok,true,true,n/a,10,10,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,10,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
project.cost.code,form,project,ok,true,true,true,9,9,6,0,,,,2,2,0,0,0,0,0,0,0,0,2,9,,0,0,,false,false,false,false,parser_capability_ok,
project.cost.code,tree,project,ok,true,true,n/a,11,11,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,11,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
project.cost.ledger,form,project,ok,true,true,true,12,12,10,0,,,,4,4,0,0,0,0,0,0,0,0,3,12,,0,0,,false,false,false,false,parser_capability_ok,
project.cost.ledger,tree,project,ok,true,true,n/a,12,12,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,12,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
project.dictionary,form,project,ok,true,true,true,15,15,12,0,,,,3,3,1,1,1,1,0,0,0,0,2,15,,0,0,,false,false,false,false,parser_capability_ok,
project.dictionary,tree,project,ok,true,true,n/a,14,14,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,14,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
project.funding.baseline,form,project,ok,true,true,true,7,7,5,0,,,,2,2,0,0,0,0,0,0,0,0,3,7,,0,1,,false,false,true,true,parser_capability_ok,
project.funding.baseline,tree,project,ok,true,true,n/a,7,8,0,0,,,currency_id,0,0,0,0,0,0,0,1,0,0,0,8,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
project.material.plan,form,project,ok,true,true,true,15,15,12,2,purchase_order_count;purchase_line_count,,,4,3,1,1,3,3,3,3,2,2,13,29,,0,2,,false,false,true,true,parser_capability_ok,
project.material.plan,tree,project,ok,true,true,n/a,16,16,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,16,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
project.milestone,form,project,ok,true,true,true,6,6,4,0,,,,3,3,0,0,0,0,0,0,0,0,3,6,,0,0,,false,false,false,false,parser_capability_ok,
project.milestone,tree,project,ok,true,true,n/a,5,6,0,0,,,is_deadline_exceeded,0,0,0,0,0,0,0,1,0,0,0,6,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
project.profit.compare,form,project,ok,true,true,true,11,11,10,0,,,,6,6,0,0,0,0,0,0,0,0,11,11,,0,0,,false,false,false,false,parser_capability_ok,
project.profit.compare,tree,project,ok,true,true,n/a,9,9,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,9,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
project.progress.entry,form,project,ok,true,true,true,11,11,8,0,,,,5,5,0,0,0,0,1,1,0,0,4,11,,0,1,,false,false,true,true,parser_capability_ok,
project.progress.entry,tree,project,ok,true,true,n/a,11,11,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,11,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
project.project,form,project,ok,true,true,true,26,26,13,3,open_task_count;last_update_color;last_update_status,,,11,11,1,1,3,3,4,4,2,2,15,51,,0,4,,false,false,false,false,parser_capability_ok,
project.project,tree,project,ok,true,true,n/a,8,14,0,0,,,sequence;name;message_needaction;active;date;last_update_color,0,0,0,0,0,0,0,1,0,0,0,14,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
project.project.stage,form,project,ok,true,true,true,8,8,5,0,,,,4,4,0,0,0,0,0,0,0,0,5,8,,0,0,,false,false,false,false,parser_capability_ok,
project.project.stage,tree,project,ok,true,true,n/a,8,8,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,8,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
project.tags,form,project,ok,true,true,true,2,2,1,0,,,,1,1,0,0,0,0,0,0,0,0,0,2,,0,0,,false,false,false,false,parser_capability_ok,
project.tags,tree,project,ok,true,true,n/a,2,2,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,2,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
project.task,form,project,ok,true,true,true,33,33,8,5,subtask_count;closed_subtask_count;message_follower_ids;activity_ids;message_ids,,,5,5,1,1,3,3,0,0,2,2,23,47,,0,7,,true,true,false,true,parser_capability_ok,
project.task,tree,project,ok,true,true,n/a,17,23,0,0,,,sequence;allow_milestones;subtask_count;closed_subtask_count;rating_active;recurrence_id,0,0,0,0,0,0,0,1,0,0,0,23,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
project.task.type,form,project,ok,true,true,true,7,7,6,0,,,,3,3,0,0,0,0,0,0,0,0,5,7,,0,1,,false,false,false,false,parser_capability_ok,
project.task.type,tree,project,ok,true,true,n/a,3,3,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,3,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
project.update,form,project,ok,true,true,true,8,8,7,3,message_follower_ids;activity_ids;message_ids,,,3,3,1,1,1,1,0,0,0,0,3,11,,0,3,,true,true,false,true,parser_capability_ok,
project.update,tree,project,ok,true,true,n/a,5,6,0,0,,,color,0,0,0,0,0,0,0,1,0,0,0,6,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.quality.issue,form,quality,ok,true,true,true,31,31,26,0,,,,6,6,1,1,5,5,2,2,0,0,5,38,,0,3,,false,false,true,true,parser_capability_ok,
sc.quality.issue,tree,quality,ok,true,true,n/a,18,18,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,18,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.quality.recheck,form,quality,ok,true,true,true,17,17,12,0,,,,5,5,1,1,3,3,0,0,0,0,6,27,,0,2,,false,false,true,true,parser_capability_ok,
sc.quality.recheck,tree,quality,ok,true,true,n/a,14,14,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,14,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.quality.rectification,form,quality,ok,true,true,true,17,17,12,0,,,,5,5,1,1,3,3,0,0,0,0,7,27,,0,2,,false,false,true,true,parser_capability_ok,
sc.quality.rectification,tree,quality,ok,true,true,n/a,14,14,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,14,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.safety.disclosure,form,safety,ok,true,true,true,16,16,11,0,,,,5,5,1,1,3,3,0,0,0,0,2,16,,0,2,,false,false,true,true,parser_capability_ok,
sc.safety.disclosure,tree,safety,ok,true,true,n/a,12,12,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,12,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.safety.issue,form,safety,ok,true,true,true,28,28,22,0,,,,5,5,1,1,5,5,1,1,0,0,5,35,,0,3,,false,false,true,true,parser_capability_ok,
sc.safety.issue,tree,safety,ok,true,true,n/a,18,18,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,18,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.safety.patrol.task,form,safety,ok,true,true,true,14,14,11,0,,,,4,4,0,0,0,0,0,0,0,0,2,14,,0,1,,false,false,false,false,parser_capability_ok,
sc.safety.patrol.task,tree,safety,ok,true,true,n/a,13,13,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,13,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.safety.plan,form,safety,ok,true,true,true,15,15,10,0,,,,3,3,1,1,3,3,2,2,0,0,2,15,,0,2,,false,false,true,true,parser_capability_ok,
sc.safety.plan,tree,safety,ok,true,true,n/a,12,12,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,12,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.safety.recheck,form,safety,ok,true,true,true,17,17,12,0,,,,5,5,1,1,3,3,0,0,0,0,6,27,,0,2,,false,false,true,true,parser_capability_ok,
sc.safety.recheck,tree,safety,ok,true,true,n/a,14,14,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,14,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.safety.rectification,form,safety,ok,true,true,true,17,17,12,0,,,,5,5,1,1,3,3,0,0,0,0,7,27,,0,2,,false,false,true,true,parser_capability_ok,
sc.safety.rectification,tree,safety,ok,true,true,n/a,14,14,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,14,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.account.income.expense.summary,form,sc_other,ok,true,true,true,17,17,16,0,,,,4,4,0,0,0,0,0,0,0,0,0,17,,0,0,,false,false,false,false,parser_capability_ok,
sc.account.income.expense.summary,tree,sc_other,ok,true,true,n/a,17,17,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,17,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.approval.policy,form,sc_other,ok,true,true,true,15,15,11,0,,,,10,7,1,1,2,2,0,0,0,0,4,21,,0,1,,false,false,false,false,parser_capability_ok,
sc.approval.policy,tree,sc_other,ok,true,true,n/a,12,12,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,12,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.approval.scope,form,sc_other,ok,true,true,true,8,8,5,0,,,,5,5,0,0,0,0,1,1,0,0,6,8,,0,1,,false,false,false,false,parser_capability_ok,
